REG_ANS,trimestre,receitas_totais,despesas_totais,receita_assistencial,sinistro_liquido,despesa_administrativa,faturado_bruto,glosa,coparticipacao,dado_confiavel,padrao_tipico
324493,1T2025,63230389.48,58066048.17,59976037.29,50304469.15,4825037.3,54459711.12,1030668.94,4021064.11,True,True
327557,1T2025,29402528.49,27803844.28,27863156.41,25883369.57,1509270.73,29825528.26,1312397.29,3154322.89,True,True
330281,1T2025,16660554.86,15096810.41,15004193.83,11543820.44,3054254.55,12794820.55,1072153.0,183127.07,True,True
330809,1T2025,26174153.59,29316525.16,23375743.63,28991675.01,213764.93,29234142.76,18220.88,740184.76,True,True
331317,1T2025,110812765.13,98224030.06,101418207.34,72897411.63,13418422.79,118873124.83,12489132.16,4707077.92,True,True
331988,1T2025,138512899.68,138322711.88,103242464.05,105221473.72,4130876.39,139648508.06,17810924.23,13925962.64,True,True
335754,1T2025,29231590.74,29558435.95,26161729.94,26705614.17,1760295.19,27544406.78,669307.9,549415.95,True,True
335789,1T2025,12992007.85,8530476.71,8253388.45,6105296.57,873388.73,8912861.49,588885.28,2297794.72,True,True
338648,1T2025,50008167.46,63630971.0,43421587.74,54412445.11,4053678.85,52050438.61,1254051.14,5423976.91,True,True
342611,1T2025,57708236.46,37083920.35,40800203.51,23187871.73,6694492.23,92423546.79,5810436.19,3610637.99,True,True
343129,1T2025,8660387.26,8409111.79,8069496.44,6805431.69,1088425.05,7007928.64,182931.55,59854.86,True,True
343331,1T2025,21360545.32,23307166.61,19033609.99,20913505.93,2255245.68,22339490.2,926141.68,2227442.37,True,True
344184,1T2025,1457423.66,1178718.76,1394847.8,886413.49,150398.68,1155030.23,12395.75,272011.04,True,True
346659,1T2025,2000998936.99,2060809615.26,1819692961.21,1821923779.06,124078126.25,2064249399.13,131031811.16,50286033.09,True,True
346926,1T2025,391393236.72,407139068.96,369352286.09,339345947.14,31627610.36,401616294.1,24273248.86,4393679.11,True,True
347825,1T2025,5960656.82,3339875.64,5515448.48,2540263.96,729752.16,3311714.47,453741.67,168157.86,True,True
352331,1T2025,538553705.41,285312018.92,162246793.48,269066965.79,12845509.5,320043421.17,34861259.42,4441396.01,True,False
355151,1T2025,111390430.0,102072961.95,94052469.71,82005527.72,9191252.85,102629965.89,8567746.42,12606549.63,True,True
356476,1T2025,40932149.06,34138463.65,38792509.89,30663429.02,3002959.0,35204127.12,437682.56,3917013.08,True,True
357669,1T2025,7081193.91,6382132.0,5689003.03,4861766.63,1163521.0,5557728.97,369712.86,350226.61,True,True
358754,1T2025,22513804.93,20849162.82,20897661.39,15150464.97,3640365.34,18372168.46,857895.86,2303493.8,True,True
359122,1T2025,32721243.37,29807538.43,29469683.04,24715870.98,2866364.95,28265417.58,2031358.65,1518187.95,True,True
361011,1T2025,148611094.44,173211282.13,106690708.58,145107614.28,23605436.68,152463022.53,8407521.13,1563089.4,True,True
361461,1T2025,23867754.72,22195165.33,21248195.98,19432786.35,2206709.79,22598317.28,1461706.26,2048855.47,True,True
363855,1T2025,28730652.26,27659182.27,26810825.35,23347197.14,2415114.52,26086811.49,,2961055.0,True,True
368920,1T2025,26748209.5,26628266.04,23429078.92,21675260.11,2576399.9,24225718.55,2008600.91,2085384.31,True,True
378216,1T2025,20024825.06,18026824.45,17625366.14,15362307.3,2422472.26,17167961.8,969947.95,1087486.67,True,True
380661,1T2025,87769275.95,100524664.87,80580017.34,89408933.66,8043729.83,90149941.66,4991839.99,6393904.87,True,True
382639,1T2025,1700916.79,1394121.1,573743.15,456873.43,53558.07,578648.88,4278.47,87855.62,True,True
384704,1T2025,9485083.57,6666124.13,8989966.23,6286312.01,393130.25,7161768.85,326977.44,211106.37,True,True
385697,1T2025,132382560.41,112222967.0,107088324.04,92960689.2,13383473.8,164417435.39,19086173.13,13337325.75,True,True
387185,1T2025,8794571.46,9508621.32,7416840.07,7661832.38,1723855.32,8648371.36,495296.59,,True,True
388092,1T2025,4112451.3,2825154.94,3490290.52,2074564.59,495170.88,2422794.1,185021.36,163208.15,True,True
390259,1T2025,3080838.2,2808658.85,2939061.94,2039707.43,761078.6,2109718.26,,95446.39,True,True
393533,1T2025,2581945.33,1763121.2,1873237.25,-1866670.71,1344612.92,10411343.43,440234.65,,True,False
402206,1T2025,7395264.47,6792878.12,5527670.63,5299613.7,442624.14,6580236.94,645369.38,702205.49,True,True
404241,1T2025,3444341.91,4425002.7,2252472.2,4039046.38,273768.63,6342103.04,118905.76,2294126.33,True,False
406635,1T2025,3201570.1,2347947.83,2913960.64,1938497.85,395829.21,2186783.49,3821.67,262655.26,True,True
406813,1T2025,2952513.34,1220540.58,2740120.95,929200.72,245537.62,1321393.86,2114.83,282626.41,True,True
406937,1T2025,5472947.68,5936450.34,4966256.84,5185012.86,429490.01,6371037.24,0.0,1333735.11,True,True
406945,1T2025,13607110.74,13867849.78,12842082.89,12551573.88,1049623.13,14256439.54,253277.74,1545129.76,True,True
407569,1T2025,2331501.32,2040731.16,2205114.59,1699489.76,327296.6,1699489.76,0.0,0.0,True,True
408026,1T2025,1794278.98,1246885.88,1728853.31,1008044.92,181676.94,1339169.0,,305703.86,True,True
408034,1T2025,2127052.38,1638618.22,2023177.95,1219017.36,383929.08,1422065.87,12690.58,241058.49,True,True
408093,1T2025,1355684.62,1195963.84,1268148.9,902576.17,273722.56,1055667.63,1343.2,130486.15,True,True
408263,1T2025,2704091.9,2580353.31,2594637.52,2268864.04,210020.86,2679743.22,35967.98,391348.45,True,True
408794,1T2025,8939626.99,8846476.87,8292608.94,7756918.99,1024778.54,8883012.55,874517.57,399625.86,True,True
409243,1T2025,56227814.47,49885219.05,51079025.98,43198704.21,5464487.11,47665413.57,1501766.39,2897829.99,True,True
409405,1T2025,1185175.14,1179773.86,1140298.04,895068.22,236648.93,1395778.52,16927.28,484647.32,True,True
409413,1T2025,4118598.24,3704399.87,3532155.46,3149957.78,460126.91,3595532.42,264533.65,165137.11,True,True
410110,1T2025,15765761.35,14616846.83,9084049.63,6629510.58,995871.0,7078679.61,39260.12,456774.42,True,True
410128,1T2025,12339426.03,10741031.54,11862791.44,9757129.18,883282.79,10555499.51,135575.53,693901.59,True,True
410608,1T2025,4747408.67,4015700.16,4544410.38,3262438.07,608508.99,4177790.76,116188.63,825270.89,True,True
411248,1T2025,1833750.16,1759192.26,1763193.19,1301686.1,360655.41,1598909.16,48602.01,225497.76,True,True
411809,1T2025,3326870.87,3153071.86,3228355.09,2739619.16,334202.38,3406579.85,99586.66,570028.83,True,True
412295,1T2025,14342634.53,21379877.01,11959571.32,19594663.92,1286250.74,21205138.65,1006775.77,1411300.45,True,False
412635,1T2025,5503504.58,8143738.06,5031869.77,5901435.79,1759537.17,6501086.47,145433.88,472385.14,True,True
413518,1T2025,6742918.02,5489341.98,5934330.86,4641466.84,761890.01,5434100.03,293084.38,447379.54,True,True
413534,1T2025,348869154.47,353971500.91,300955824.61,223013526.13,22987380.39,234603134.93,8061329.83,952851.98,True,True
414026,1T2025,1641278.29,2097151.44,1300830.67,1797608.68,249620.43,1941176.19,29167.9,189004.06,True,True
414212,1T2025,7318309.45,6993892.4,7012500.29,6407809.12,486333.99,7263776.13,73237.69,786448.38,True,True
414310,1T2025,30175969.79,31662365.44,25156493.01,27174540.52,3171635.09,39735834.73,2040531.08,4288505.44,True,True
414689,1T2025,982950.24,900923.99,725089.48,181850.51,634691.13,2205419.88,11493.6,242309.45,True,True
416401,1T2025,74600982.26,53627964.0,69432181.3,45328501.42,4009853.56,54332102.68,3209681.0,5856259.51,True,True
416568,1T2025,44963872.8,45490359.37,39129187.0,39208907.06,4739438.66,77760462.7,2459812.55,6394190.59,True,True
416584,1T2025,10334604.46,11790467.06,9678117.55,10961284.36,685685.13,13862037.62,603216.36,2673553.4,True,True
416690,1T2025,20315572.78,20715159.34,17628638.71,18237936.28,1996279.33,20674984.46,1145370.24,1513973.64,True,True
417211,1T2025,22368593.32,18207215.24,19685468.59,16285548.66,1726112.24,16861481.5,575932.84,,True,True
417297,1T2025,31528831.9,27348331.69,29416739.6,23301503.96,2355097.41,35113690.97,2061611.39,1592818.28,True,True
417505,1T2025,151973523.71,158840300.78,128904264.09,136569411.1,9603702.86,152899895.43,8954194.18,10917638.69,True,True
417548,1T2025,53703244.5,50228468.53,53771277.47,43585275.35,4736455.8,46253630.42,1110221.3,1766083.88,True,True
417661,1T2025,21012535.47,16822571.2,19935079.5,14500394.46,2053028.32,16601922.66,1039314.25,339653.36,True,True
417955,1T2025,25816606.18,17468178.28,22375508.63,14884275.22,2307921.48,16344314.39,1443234.78,,True,True
418129,1T2025,3021404.17,2202052.45,2174449.3,1425485.53,238515.74,1396634.04,,,True,True
418285,1T2025,10051170.32,7946918.71,0.0,0.0,4516786.25,38068396.05,6319.39,465402.34,False,False
418374,1T2025,34417004.18,35111841.29,31046741.26,24766876.79,4701401.5,54797064.74,8149443.84,1950879.24,True,True
418617,1T2025,11190958.86,11609378.48,10206062.39,10840721.17,544051.85,11350669.78,829738.57,,True,True
418650,1T2025,58417295.18,51942560.56,55346791.85,36316706.48,11017828.17,39977516.03,4251233.76,,True,True
418820,1T2025,15658919.9,13178678.11,13573227.09,11404058.95,1098003.45,13554352.84,2354881.12,,True,True
419010,1T2025,115951806.69,107359860.32,110670963.8,97151125.76,8978579.65,109265833.05,3601346.55,9050612.81,True,True
419133,1T2025,65975825.1,51019434.31,43174372.6,0.0,42475458.37,547758713.84,30784831.69,12166640.36,True,False
419427,1T2025,32013947.9,21067224.31,22204619.53,14305920.69,6411001.52,14698496.26,457829.88,,True,True
419591,1T2025,1874614.45,2136451.52,1829571.1,1582541.58,533675.52,1731694.46,106583.69,,True,True
419851,1T2025,3060297.03,2805073.02,2876942.89,2477142.7,286967.48,3275601.67,3397.34,836442.04,True,True
420077,1T2025,194508191.09,173886975.72,77693145.03,68954286.56,6242769.37,70153782.72,1199496.16,,True,True
420093,1T2025,1224099.37,817242.7,1179243.64,1046807.97,137795.51,1296377.63,79908.86,186773.96,True,True
420701,1T2025,10895363.93,7747626.67,10594598.62,7271916.03,385215.77,8447770.12,276918.21,924844.64,True,True
421341,1T2025,30112342.7,28276988.9,25759012.02,22284895.52,3713651.66,24992093.54,2300801.07,749221.26,True,True
422053,1T2025,7264252.14,6707395.55,0.0,0.0,3976269.57,35121990.99,400620.25,264825.15,False,False
422070,1T2025,19914626.96,16501562.59,18308691.9,13257333.35,2584930.94,21865341.87,1293136.53,1203556.53,True,True
422631,1T2025,119561384.37,101956221.17,101956221.18,30838913.81,68471799.29,1264950378.85,104239419.84,,True,True
423203,1T2025,1754704.44,2074605.02,1727310.26,1695054.63,365209.89,1887134.85,59247.16,168008.25,True,True
423319,1T2025,18072912.89,17854296.9,17649452.09,13661040.54,1857313.38,13780354.05,492876.66,266806.55,True,True
423432,1T2025,697793.23,1091417.51,667816.83,848570.21,183374.16,813879.99,,,True,True
423513,1T2025,260545.52,31802.4,,,31562.55,,,,False,False
423777,1T2025,164379.68,100677.56,,,100673.42,,,,False,False
302627,2T2025,14199032.72,13570174.48,11274499.69,11941014.4,1298710.68,12722972.8,704577.08,165364.28,True,True
304131,2T2025,31071325.33,31864887.29,29355825.7,28352687.53,2405444.93,30285866.21,2012772.32,331886.22,True,True
306754,2T2025,18092216.64,18294421.81,13664671.83,12279549.27,2502823.92,14858800.74,1630383.48,948867.99,True,True
307319,2T2025,112833663.6,81704417.12,77815373.01,69247316.38,6861742.45,79624223.34,2507958.86,10168140.22,True,True
307751,2T2025,35002841.24,36817726.25,31544919.49,34099512.69,2576281.85,35931290.4,1811560.83,252366.52,True,True
312126,2T2025,650787961.41,612695508.15,592305445.16,570604344.07,25313749.87,661956910.15,84180109.06,88424.44,True,True
314251,2T2025,23292436.33,21125500.32,22195881.86,18278348.63,1917037.26,19466818.3,1050661.95,394623.64,True,True
314668,2T2025,81767154.9,71147252.41,73271222.06,52890431.29,9186987.85,67003371.2,3473609.71,5177497.77,True,True
315044,2T2025,70203625.33,67408348.99,64723102.1,62772348.1,3853515.73,70575022.89,523105.89,6980681.22,True,True
315478,2T2025,481522507.78,441769827.16,455136379.82,420000185.96,18832259.34,480909492.49,37488814.48,11503651.9,True,True
315567,2T2025,51500448.07,52110023.99,47269967.24,47980477.76,3114560.61,50387613.62,608305.33,534852.76,True,True
315583,2T2025,14410256.93,5424863.62,13685167.99,3527032.09,1697117.89,11822317.48,904631.32,2082781.78,True,True
316849,2T2025,3070157.46,3070157.46,2974839.44,1844937.99,1072348.9,1844937.99,,,True,True
316873,2T2025,46582919.01,44119431.66,44177426.36,34831777.54,7120123.05,38520119.49,174246.42,3228989.34,True,True
317632,2T2025,113673240.72,111402622.1,87857881.88,86507662.24,12052126.53,97298314.35,3225463.09,1293509.66,True,True
320820,2T2025,20306944.56,17292861.73,17344329.71,13744141.95,3477820.02,16568306.23,2419226.54,442218.9,True,True
323080,2T2025,1337713317.19,1379621740.96,1240122456.07,1122467460.3,137897596.51,1369714991.31,483935738.18,38714488.44,True,True
324477,2T2025,90815667.92,88716260.54,85827568.5,72355108.43,14786781.67,86107433.46,10106199.78,2143203.38,True,True
324493,2T2025,65176857.26,60045450.47,60515881.77,51098087.12,5650322.14,56553028.55,960129.03,4424552.9,True,True
327557,2T2025,29209563.69,29169292.85,27377364.49,26870780.07,1715250.15,29899756.15,704991.9,3136434.47,True,True
329665,2T2025,15388812.17,15355779.86,12493599.62,13533926.38,1817344.76,14855424.75,231052.37,811070.8,True,True
330281,2T2025,16618517.42,15758121.36,14970026.66,12038102.26,2865197.76,13171456.84,1023809.92,113990.39,True,True
330809,2T2025,32443161.24,19942973.7,29385828.88,19519396.57,383382.21,21151103.01,669776.01,497369.04,True,True
331317,2T2025,111479298.19,108019701.57,97432573.4,82981264.87,12313188.3,135352017.48,18636539.38,4161360.26,True,True
331988,2T2025,160465611.42,159653874.63,120919004.31,120222543.77,3931095.77,144083838.62,8952229.01,15967887.95,True,True
335754,2T2025,30317049.84,30146516.74,26812197.86,26902803.82,1936229.47,29953490.44,2260534.11,700233.45,True,True
335789,2T2025,10261241.46,8872376.71,8180264.84,5695522.76,907766.05,8474255.2,576335.23,2264312.73,True,True
338648,2T2025,54482489.89,40308993.63,46505850.83,31498175.96,5156345.91,49445922.61,1364858.18,5669598.37,True,True
342611,2T2025,47449580.98,49634685.73,28517892.76,35586200.8,7101477.94,113435942.62,4013400.72,2965316.37,True,True
343129,2T2025,8305533.31,8504103.01,7807992.51,7327595.61,1082697.4,7679441.31,239729.47,108048.25,True,True
343331,2T2025,25654509.19,21945757.45,22630826.63,19590714.97,2104217.99,22591032.68,885953.71,2547365.02,True,True
344184,2T2025,1496372.27,1855652.15,1412242.83,1464827.1,155849.83,1891990.15,9049.45,416638.11,True,True
346659,2T2025,2045598556.9,2272591753.39,1862790178.39,2015020702.99,137887080.47,2234336248.82,122687368.42,54418350.62,True,True
346926,2T2025,415307789.62,419017398.04,384861081.92,330653859.77,34795142.24,346959985.29,24245343.08,5540316.46,True,True
347825,2T2025,4745878.41,3753063.62,4393035.69,2660708.71,903630.24,3192740.34,276080.49,202997.66,True,True
352331,2T2025,776654293.46,317733765.68,163003576.98,299080563.66,17074417.79,350933417.55,33091001.48,5052691.62,True,False
355151,2T2025,106791031.38,102539710.8,93337650.75,87135231.61,8183022.54,110460216.88,9928073.93,14017897.23,True,True
356476,2T2025,41683247.67,37039690.1,39400313.39,33005499.51,2940042.38,38270938.77,500265.26,4810214.7,True,True
357669,2T2025,7351617.04,6363335.48,5904581.5,4888229.07,1166481.22,5968259.39,652145.37,430716.9,True,True
358754,2T2025,30751929.91,21248484.18,20660766.47,15798120.98,3607193.64,19418303.84,938376.37,2623225.23,True,True
359122,2T2025,33741987.4,28432196.59,29803306.87,23132373.0,2765052.76,26271256.28,1491249.65,1647633.63,True,True
361011,2T2025,166448621.43,159014365.94,129270215.95,130969860.18,22800934.84,142202526.96,10224131.63,1403942.64,True,True
361461,2T2025,25205713.75,22630541.18,21034734.87,19659067.2,2259389.95,22277648.17,667794.75,2313399.5,True,True
363855,2T2025,27832722.2,27054062.83,25699241.4,21900309.37,2461519.34,25098257.05,52540.14,3353977.96,True,True
368920,2T2025,32042269.14,27062526.27,29163444.5,21829520.32,2895370.15,25637278.78,1837744.71,2339405.98,True,True
378216,2T2025,22725907.53,18101224.38,20074476.6,14735048.42,2423942.27,16128564.53,847607.88,1092147.7,True,True
380661,2T2025,86246177.24,102325719.03,79824116.08,90610289.97,8986174.0,99448385.42,-2579034.97,6665034.77,True,True
382639,2T2025,1965954.14,1963877.82,601666.12,603851.77,31208.39,910172.84,25660.04,191559.46,True,True
384704,2T2025,8805540.78,7744123.33,8418184.49,7043901.23,580417.91,7558917.77,277231.93,127088.88,True,True
385697,2T2025,134301280.0,127733604.91,109934933.68,112005522.0,13843883.51,178172383.25,19807650.18,14253140.68,True,True
387185,2T2025,9307840.23,8584435.2,7858743.08,6607625.65,1784892.55,7476403.86,360037.02,,True,True
388092,2T2025,4243225.57,4437193.16,3572427.88,3467594.05,512493.9,3849048.1,217397.4,164056.65,True,True
390259,2T2025,3082991.75,3079670.35,2931302.25,2120570.32,913171.0,2200183.01,,100354.01,True,True
393533,2T2025,1926034.12,1557459.3,1153047.31,-1143415.25,1476527.81,11317971.1,328605.24,,True,False
402206,2T2025,7448565.85,7282719.93,5507840.8,5564476.64,454807.3,6805870.74,555709.21,725247.59,True,True
404241,2T2025,3812551.56,4198897.03,2551808.01,3807138.95,269443.83,6150840.95,64889.69,2374136.63,True,True
406635,2T2025,3193897.46,2573301.73,2901563.21,2053141.5,472695.77,2364893.7,1482.95,332218.45,True,True
406813,2T2025,2192055.37,1315547.27,1963265.38,1080774.0,206792.39,1427605.14,3574.68,323522.37,True,True
406937,2T2025,6057141.47,5872158.93,5530042.05,5539264.72,461606.17,7102186.52,0.0,1530029.46,True,True
406945,2T2025,14971393.61,15287173.91,14226231.96,13879076.36,1053309.73,16588023.14,1498177.67,1472814.75,True,True
407569,2T2025,2407281.91,2079915.73,2289170.63,1722176.28,344357.45,1722176.28,0.0,0.0,True,True
408026,2T2025,1538819.94,2063735.29,1459402.84,1608203.1,188646.21,1918022.31,,321086.75,True,True
408034,2T2025,1902553.1,1239275.9,1771751.7,833931.47,385453.49,1140264.72,9982.18,275977.46,True,True
408093,2T2025,2108712.54,1033956.28,1695318.24,697094.99,265041.01,873958.99,842.76,142715.76,True,True
408263,2T2025,2706687.19,3086452.33,2589876.06,2802860.81,205246.4,3184829.14,43491.76,328695.46,True,True
408794,2T2025,8791797.02,8549255.36,8084695.36,7234207.79,1119067.47,8324561.26,740057.21,475467.63,True,True
409243,2T2025,57206252.17,53242796.6,52118592.04,44290560.12,6307158.94,49326441.85,1788081.17,3288542.5,True,True
409405,2T2025,1212906.12,1176918.76,1162677.13,639065.97,255632.68,1014959.8,17886.17,336181.15,True,True
409413,2T2025,3547004.27,4237503.72,2874677.02,3701369.02,431447.27,4119854.5,198093.26,288246.71,True,True
410110,2T2025,15392693.01,16185176.38,9519734.25,6520481.15,872443.36,7162247.77,68390.8,601260.49,True,True
410128,2T2025,12147803.4,12521763.98,11659462.27,11297226.32,850889.64,11927735.98,50761.25,764034.96,True,True
410608,2T2025,4785401.73,4931578.08,4572078.44,4018901.84,679455.55,4991965.51,116162.42,872024.94,True,True
411248,2T2025,1881935.28,1820530.0,1802747.77,1392992.11,354293.03,1653398.22,28543.51,224597.14,True,True
411809,2T2025,2544717.48,3031792.76,2441669.38,2622409.16,317651.0,3372119.49,171638.93,586811.92,True,True
412295,2T2025,19700563.89,15894759.17,17035683.35,13973963.18,1147259.96,16292264.15,601178.37,1817847.86,True,True
412635,2T2025,6808712.25,5782160.08,6404336.15,3620474.12,1892093.81,6077687.14,121864.56,405939.76,True,True
413518,2T2025,7072912.21,6678992.95,6262929.09,5858843.82,761166.11,6754452.5,310284.69,484232.53,True,True
413534,2T2025,367191527.34,383548786.87,314896216.83,229206611.21,29693763.5,233976550.89,4001610.25,978970.99,True,True
414026,2T2025,1758309.75,2158414.85,1379180.95,1682905.65,369140.98,1927351.13,32592.24,206071.11,True,True
414212,2T2025,10056668.0,6492262.13,9766991.57,5853238.25,509051.5,7259249.56,355236.79,881391.75,True,True
414310,2T2025,30256686.56,33637280.91,25630193.26,28930866.5,3383803.01,43355011.28,2169952.25,4887195.62,True,True
414689,2T2025,294848.18,681318.12,0.0,-143853.13,677154.96,2670070.45,56842.24,246795.6,False,False
416401,2T2025,81280618.89,66316000.25,75902974.91,57328707.04,4079962.82,65637218.19,2831878.59,6654138.16,True,True
416568,2T2025,37420015.45,45975764.28,32383090.84,38631969.26,5040048.56,78787865.45,2686292.53,7385604.71,True,True
416584,2T2025,10503373.33,12340206.05,9885170.0,11478144.02,703992.51,14865643.37,971705.94,2643073.41,True,True
416690,2T2025,23364399.71,22822365.57,20225893.54,19703482.07,2170055.75,22434640.81,1653783.4,1378425.67,True,True
417211,2T2025,23900739.64,20547573.5,20621732.77,18145097.3,1777465.7,18763478.54,618381.24,,True,True
417297,2T2025,31488937.7,29526427.71,29100194.3,24585253.03,2845335.1,36523949.47,1850095.81,1908212.24,True,True
417505,2T2025,199457549.98,199780260.0,173781079.59,152670596.75,10330665.32,175083741.21,9118657.81,11828320.22,True,True
417548,2T2025,66048102.11,50080665.99,67137131.77,43295547.85,4816848.43,46510456.24,997894.97,2070997.48,True,True
417661,2T2025,21369322.55,19264526.07,20051412.05,16551613.77,2113348.37,18663308.08,1042036.86,351860.04,True,True
417955,2T2025,27751048.18,21261396.3,23638837.67,18191048.0,2241975.99,19932202.32,2075151.98,,True,True
418129,2T2025,3153686.99,2833926.11,2218247.79,1900161.7,311291.82,1982228.05,96765.51,,True,True
418285,2T2025,12012192.69,9931857.3,1776195.12,0.0,5808276.6,42051162.93,34544.32,527395.55,True,False
418374,2T2025,31201564.69,28855006.32,27862583.98,18160517.45,5076732.91,44966872.42,7723861.36,1713143.26,True,True
418617,2T2025,12482210.96,10904998.93,11436053.1,9950682.84,545258.02,10770625.75,1012250.05,,True,True
418650,2T2025,61394352.95,50463335.25,55498644.95,37779253.07,7313705.24,41647818.77,4461421.24,,True,True
418820,2T2025,16269452.29,13803675.05,14021236.47,11055231.2,1144780.2,13540705.52,2455902.19,,True,True
419010,2T2025,119536100.45,117733631.49,113555672.87,107424181.31,8564569.73,121295142.77,4229617.18,10078848.55,True,True
419133,2T2025,54528994.62,57942441.21,43765526.97,0.0,43110335.1,599668082.43,21828425.17,9774214.94,True,False
419427,2T2025,25057527.31,22407754.33,21472772.58,15842792.72,5805618.79,15858600.67,48516.82,,True,True
419591,2T2025,1947441.62,1731435.58,1898551.53,1089800.93,621883.12,1186410.79,81220.57,,True,True
419851,2T2025,3037847.2,4166413.87,2887707.14,3079982.04,309694.73,3849191.13,285.71,821642.24,True,True
420077,2T2025,192518330.08,185456079.31,70150435.36,76510326.28,7975716.95,77643296.77,1132970.49,,True,True
420093,2T2025,1072674.68,1053830.85,1023485.68,980792.99,156722.04,1193078.64,59073.7,153621.13,True,True
420701,2T2025,10057592.12,9643619.43,9664373.03,9159268.14,399932.92,10319192.55,207010.53,1089009.13,True,True
421341,2T2025,35665876.18,30357083.81,30848636.19,23991796.35,3973387.4,27381356.6,2737971.31,868266.49,True,True
422053,2T2025,5723511.83,6063146.76,0.0,0.17,3828879.54,42025292.6,462419.52,256008.14,False,False
422070,2T2025,19996037.49,16315401.66,18095868.1,12657089.76,2778433.56,24574766.02,2293955.44,952898.59,True,True
422631,2T2025,112471546.13,98526735.88,87377905.33,12349438.65,72502267.34,1416359613.48,81952259.48,,True,False
423203,2T2025,1738584.55,1262380.35,1715220.15,29710.32,350431.28,246617.38,48085.22,196178.35,True,False
423319,2T2025,19206206.93,15919725.35,18753119.68,11854900.56,2130338.58,12078557.29,624842.63,245614.62,True,True
423432,2T2025,415433.49,1214713.25,259450.47,910171.86,218073.68,923472.38,44660.85,,True,False
423513,2T2025,290037.77,102978.4,,,24951.94,,,,False,False
423777,2T2025,213576.84,102739.43,,,99035.07,,,,False,False
424188,2T2025,1194870229.82,1331664022.03,1146074152.38,1197155075.33,52793531.1,1208003542.99,13454480.13,88803762.4,True,True
302627,3T2025,14957432.27,12401346.47,12044164.81,10913174.24,1196352.92,11782388.46,752608.2,203407.93,True,True
304131,3T2025,39186577.62,34489568.53,37257726.83,31183057.07,2738951.01,33249745.51,1966609.54,503349.96,True,True
306754,3T2025,17937717.24,17259595.77,14000183.02,11205704.64,2662590.94,13193647.16,947271.19,1040671.33,True,True
307319,3T2025,107898328.02,91326332.69,74541690.93,78407312.91,7349982.19,89514034.15,2536956.05,11231874.23,True,True
307751,3T2025,35473484.36,34327869.65,31583121.01,32757472.42,2287673.63,34943237.25,1764249.69,268161.95,True,True
312126,3T2025,656268296.91,645268676.16,593160579.4,601385164.25,28871442.56,685466338.4,82808745.53,100514.04,True,True
314251,3T2025,23616366.69,22276411.61,22276770.61,19076340.65,2054847.68,20431497.38,1266967.62,396966.21,True,True
314668,3T2025,81319531.66,66506258.27,71907373.21,50423064.61,9166890.02,66672548.69,1366733.31,5374217.99,True,True
315044,3T2025,75433533.77,67006899.4,69823775.48,61881976.36,3680993.26,70022416.77,493223.21,6826976.74,True,True
315478,3T2025,514895007.0,463424883.98,467170468.89,421199466.05,19763309.97,490609679.8,41842446.2,12064129.4,True,True
315567,3T2025,53508200.12,49799078.73,48935777.87,45278982.18,3459914.05,47875125.22,535175.11,776915.37,True,True
